battery_id,cycle,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,time,capacity
B0005,1,3.5298,-1.8187,32.5723,0.0,0.0,3690.23,1.856487
B0005,2,3.5373,-1.8176,32.7252,0.0,0.0,3672.34,1.846327
B0005,3,3.5437,-1.8165,32.6429,0.0,0.0,3651.64,1.835349
B0005,4,3.5437,-1.8256,32.5149,0.0,0.0,3631.56,1.835263
B0005,5,3.5423,-1.8261,32.3823,0.0,0.0,3629.17,1.834646
B0005,6,3.5413,-1.8168,32.4342,0.0,0.0,3652.28,1.835662
B0005,7,3.541,-1.8168,32.4804,0.0,0.0,3650.83,1.835146
B0005,8,3.5541,-1.8443,32.4105,0.0,0.0,3572.45,1.825757
B0005,9,3.5529,-1.854,32.3461,0.0,0.0,3550.59,1.824774
B0005,10,3.5512,-1.8536,32.2768,0.0,0.0,3551.25,1.824613
B0005,11,3.5493,-1.8634,32.1571,0.0,0.0,3530.25,1.82462
B0005,12,3.5598,-1.873,32.3641,0.0,0.0,3491.02,1.814202
B0005,13,3.5581,-1.8826,32.3182,0.0,0.0,3470.28,1.813752
B0005,14,3.5557,-1.8825,32.1571,0.0,0.0,3470.0,1.81344
B0005,15,3.5627,-1.8818,32.0441,0.0,0.0,3450.3,1.802598
B0005,16,3.5615,-1.8922,31.9316,0.0,0.0,3429.41,1.802107
B0005,17,3.5603,-1.9028,31.9417,0.0,0.0,3409.48,1.80258
B0005,18,3.5591,-1.9133,31.965,0.0,0.0,3390.42,1.803068
B0005,19,3.5579,-1.9132,31.9662,0.0,0.0,3390.28,1.802778
B0005,20,3.552,-1.8553,32.3714,0.0,0.0,3591.73,1.847026
B0005,21,3.5526,-1.8747,32.7002,0.0,0.0,3552.3,1.847417
B0005,22,3.5568,-1.8738,32.3227,0.0,0.0,3531.58,1.836177
B0005,23,3.5614,-1.8832,31.988,0.0,0.0,3492.91,1.825781
B0005,24,3.5566,-1.8732,31.8945,0.0,0.0,3511.59,1.825114
B0005,25,3.5587,-1.914,31.7804,0.0,0.0,3431.94,1.825582
B0005,26,3.5641,-1.9031,31.6887,0.0,0.0,3431.12,1.814031
B0005,27,3.5596,-1.9135,31.5967,0.0,0.0,3412.41,1.814769
B0005,28,3.5568,-1.9136,31.5656,0.0,0.0,3410.69,1.813969
B0005,29,3.5624,-1.9026,31.5912,0.0,0.0,3410.72,1.802766
B0005,30,3.5591,-1.9131,31.6035,0.0,0.0,3392.72,1.804077
B0005,31,3.5573,-1.9206,31.9156,0.0,0.0,3470.67,1.851803
B0005,32,3.5619,-1.9299,32.0811,0.0,0.0,3414.11,1.830704
B0005,33,3.5618,-1.9293,31.8498,0.0,0.0,3395.22,1.819904
B0005,34,3.5597,-1.9233,31.4657,0.0,0.0,3386.0,1.809308
B0005,35,3.5576,-1.9284,31.4093,0.0,0.0,3368.19,1.80461
B0005,36,3.5597,-1.9231,31.9022,0.0,0.0,3368.27,1.799377
B0005,37,3.5591,-1.917,31.649,0.0,0.0,3358.72,1.788443
B0005,38,3.557,-1.922,31.4887,0.0,0.0,3339.5,1.782923
B0005,39,3.5562,-1.9162,31.33,0.0,0.0,3331.26,1.773034
B0005,40,3.5533,-1.9221,31.5696,0.0,0.0,3321.19,1.773038
B0005,41,3.5563,-1.9162,32.1114,0.0,0.0,3321.84,1.767872
B0005,42,3.5563,-1.9159,32.2717,0.0,0.0,3311.83,1.762315
B0005,43,3.559,-1.9114,31.8423,0.0,0.0,3327.39,1.767617
B0005,44,3.5534,-1.9158,31.7598,0.0,0.0,3312.08,1.762668
B0005,45,3.551,-1.9151,31.4191,0.0,0.0,3293.17,1.75173
B0005,46,3.5513,-1.9148,31.3316,0.0,0.0,3275.33,1.74185
B0005,47,3.549,-1.9144,31.3593,0.0,0.0,3265.02,1.736091
B0005,48,3.5598,-1.9389,34.3109,0.0,0.0,3328.94,1.793624
B0005,49,3.5623,-1.9275,33.4359,0.0,0.0,3329.27,1.783189
B0005,50,3.5583,-1.9267,32.667,0.0,0.0,3301.58,1.767364
B0005,51,3.554,-1.9261,32.2842,0.0,0.0,3283.56,1.757018
B0005,52,3.5524,-1.9202,32.0074,0.0,0.0,3275.12,1.746871
B0005,53,3.5496,-1.9201,32.0639,0.0,0.0,3265.66,1.741717
B0005,54,3.5494,-1.9144,32.4375,0.0,0.0,3266.09,1.736423
B0005,55,3.5472,-1.9083,32.1681,0.0,0.0,3257.59,1.726322
B0005,56,3.5467,-1.9022,32.0575,0.0,0.0,3248.59,1.715807
B0005,57,3.5446,-1.902,31.9759,0.0,0.0,3238.77,1.710533
B0005,58,3.5436,-1.8965,32.2169,0.0,0.0,3240.14,1.706014
B0005,59,3.5445,-1.896,32.5563,0.0,0.0,3230.11,1.700311
B0005,60,3.5409,-1.89,32.4005,0.0,0.0,3229.78,1.69458
B0005,61,3.5412,-1.8894,32.2937,0.0,0.0,3212.47,1.684903
B0005,62,3.5407,-1.8777,32.1361,0.0,0.0,3213.22,1.674474
B0005,63,3.5376,-1.8831,32.3827,0.0,0.0,3203.58,1.674569
B0005,64,3.5384,-1.8764,32.309,0.0,0.0,3195.12,1.663716
B0005,65,3.5393,-1.871,32.5664,0.0,0.0,3195.31,1.659014
B0005,66,3.5337,-1.8706,32.4654,0.0,0.0,3186.3,1.653854
B0005,67,3.5344,-1.864,32.3471,0.0,0.0,3176.44,1.642654
B0005,68,3.5313,-1.8637,32.3715,0.0,0.0,3167.59,1.637858
B0005,69,3.5309,-1.8578,32.4555,0.0,0.0,3167.72,1.632735
B0005,70,3.5287,-1.8572,32.5002,0.0,0.0,3159.08,1.627753
B0005,71,3.5263,-1.8568,32.501,0.0,0.0,3148.83,1.622125
B0005,72,3.5287,-1.8449,32.4729,0.0,0.0,3149.09,1.611326
B0005,73,3.5256,-1.8444,32.5048,0.0,0.0,3140.55,1.606563
B0005,74,3.5227,-1.8439,32.5122,0.0,0.0,3131.62,1.601514
B0005,75,3.5247,-1.8371,32.4569,0.0,0.0,3121.91,1.590369
B0005,76,3.5213,-1.8316,32.4471,0.0,0.0,3122.12,1.585789
B0005,77,3.518,-1.8311,32.3289,0.0,0.0,3121.67,1.584943
B0005,78,3.5237,-1.8433,32.8449,0.0,0.0,3120.86,1.595526
B0005,79,3.5191,-1.8298,32.3173,0.0,0.0,3103.83,1.57473
B0005,80,3.5162,-1.8237,32.0638,0.0,0.0,3095.09,1.564902
B0005,81,3.5148,-1.8177,32.22,0.0,0.0,3095.78,1.559766
B0005,82,3.5133,-1.8179,32.712,0.0,0.0,3094.33,1.559482
B0005,83,3.5145,-1.8172,32.945,0.0,0.0,3086.53,1.554689
B0005,84,3.511,-1.811,32.8575,0.0,0.0,3085.62,1.548874
B0005,85,3.5109,-1.8094,32.6297,0.0,0.0,3067.2,1.538237
B0005,86,3.5094,-1.8027,32.3799,0.0,0.0,3058.16,1.527914
B0005,87,3.5067,-1.8032,32.6822,0.0,0.0,3058.81,1.528525
B0005,88,3.511,-1.7966,32.9939,0.0,0.0,3058.58,1.522647
B0005,89,3.5103,-1.796,33.0454,0.0,0.0,3049.33,1.517486
B0005,90,3.5222,-1.8229,32.8563,0.0,0.0,3177.22,1.605819
B0005,91,3.5163,-1.8294,33.3395,0.0,0.0,3082.94,1.563849
B0005,92,3.5134,-1.8163,33.3516,0.0,0.0,3074.27,1.548092
B0005,93,3.5151,-1.8034,33.1475,0.0,0.0,3066.0,1.532376
B0005,94,3.5083,-1.8027,33.0073,0.0,0.0,3056.44,1.526953
B0005,95,3.5092,-1.7959,32.9199,0.0,0.0,3048.22,1.516957
B0005,96,3.5068,-1.7953,32.999,0.0,0.0,3039.22,1.511898
B0005,97,3.5061,-1.7894,33.0377,0.0,0.0,3039.05,1.506564
B0005,98,3.5037,-1.7884,33.0774,0.0,0.0,3030.38,1.501545
B0005,99,3.5067,-1.7815,33.0547,0.0,0.0,3021.0,1.490844
B0005,100,3.5059,-1.7753,33.1157,0.0,0.0,3021.75,1.485868
B0005,101,3.5042,-1.7742,33.1294,0.0,0.0,3012.26,1.480414
B0005,102,3.5031,-1.7739,33.1307,0.0,0.0,3002.64,1.47521
B0005,103,3.4982,-1.781,33.2007,0.0,0.0,3012.0,1.485904
B0005,104,3.5066,-1.7879,33.787,0.0,0.0,3020.11,1.496092
B0005,105,3.5015,-1.7802,33.6734,0.0,0.0,3002.17,1.480801
B0005,106,3.5017,-1.7731,33.5358,0.0,0.0,2992.7,1.469754
B0005,107,3.4966,-1.7706,33.3227,0.0,0.0,2964.47,1.453901
B0005,108,3.4992,-1.7601,33.3462,0.0,0.0,2983.38,1.454146
B0005,109,3.4961,-1.7656,33.6495,0.0,0.0,2975.3,1.455024
B0005,110,3.4959,-1.7588,33.7927,0.0,0.0,2974.99,1.449042
B0005,111,3.4976,-1.7516,33.5245,0.0,0.0,2966.25,1.438671
B0005,112,3.4957,-1.7513,33.3904,0.0,0.0,2956.36,1.433445
B0005,113,3.4929,-1.7512,33.6737,0.0,0.0,2956.34,1.433396
B0005,114,3.4955,-1.7446,33.9108,0.0,0.0,2956.41,1.428065
B0005,115,3.4942,-1.7436,33.7851,0.0,0.0,2947.27,1.42292
B0005,116,3.4912,-1.7425,33.6113,0.0,0.0,2937.98,1.417429
B0005,117,3.4889,-1.742,33.456,0.0,0.0,2929.12,1.412409
B0005,118,3.4874,-1.7422,33.7233,0.0,0.0,2928.45,1.412579
B0005,119,3.492,-1.7358,34.0501,0.0,0.0,2929.38,1.407598
B0005,120,3.4916,-1.7568,33.8893,0.0,0.0,2946.03,1.433392
